time,charge
589.9999999996085,-0.6
590.9999999996076,-0.8
591.9999999996066,-0.8
592.9999999996057,-0.6
593.9999999996048,-0.4
594.9999999996039,-0.2
595.999999999603,-0.4
596.9999999996021,-0.6
597.9999999996012,-0.6
598.9999999996003,-0.2
599.9999999995994,-0.6
600.9999999995985,-0.4
601.9999999995975,-0.2
602.9999999995966,-0.4
603.9999999995957,-0.6
604.9999999995948,-0.6
605.9999999995939,-0.6
606.999999999593,-0.6
607.9999999995921,-0.6
608.9999999995912,-0.8
609.9999999995903,-0.8
610.9999999995894,-0.8
611.9999999995885,-0.4
612.9999999995875,-0.4
613.9999999995866,-0.6
614.9999999995857,-0.6
615.9999999995848,-0.8
616.9999999995839,-0.8
617.999999999583,-0.6
618.9999999995821,-0.8
619.9999999995812,-0.6
620.9999999995803,-0.4
621.9999999995794,-0.2
622.9999999995784,-0.4
623.9999999995775,-0.6
624.9999999995766,-1.0
625.9999999995757,-0.8
626.9999999995748,-0.8
627.9999999995739,-0.8
628.999999999573,-0.8
629.9999999995721,-0.6
630.9999999995712,-0.6
631.9999999995703,-0.4
632.9999999995694,-0.4
633.9999999995684,-0.4
634.9999999995675,-0.4
635.9999999995666,0.0
636.9999999995657,0.0
637.9999999995648,-0.2
638.9999999995639,-0.4
639.999999999563,-0.4
640.9999999995621,-0.6
641.9999999995612,-0.6
642.9999999995603,-0.2
643.9999999995593,-0.2
644.9999999995584,-0.4
645.9999999995575,-0.4
646.9999999995566,-0.4
647.9999999995557,-0.4
648.9999999995548,-0.4
649.9999999995539,-0.4
650.999999999553,-0.6
651.9999999995521,-0.6
652.9999999995512,-0.8
653.9999999995503,-0.8
654.9999999995493,-0.8
655.9999999995484,-0.6
656.9999999995475,-0.6
657.9999999995466,-0.6
658.9999999995457,-0.4
659.9999999995448,-0.2
660.9999999995439,-0.2
661.999999999543,-0.2
662.9999999995421,-0.4
663.9999999995412,-0.6
664.9999999995403,-0.6
665.9999999995393,-0.6
666.9999999995384,-0.4
667.9999999995375,-0.6
668.9999999995366,-0.6
669.9999999995357,-0.6
670.9999999995348,-0.4
671.9999999995339,-0.6
672.999999999533,-0.6
673.9999999995321,-0.4
674.9999999995312,-0.6
675.9999999995302,-0.8
676.9999999995293,-0.4
677.9999999995284,-0.2
678.9999999995275,-0.6
679.9999999995266,-0.6
680.9999999995257,-0.4
681.9999999995248,-0.4
682.9999999995239,-0.4
683.999999999523,-0.4
684.9999999995221,-0.2
685.9999999995212,0.0
686.9999999995202,0.0
687.9999999995193,-0.2
688.9999999995184,-0.2
689.9999999995175,-0.4
690.9999999995166,-0.6
691.9999999995157,-0.6
692.9999999995148,-0.6
693.9999999995139,-0.8
694.999999999513,-0.6
695.999999999512,-0.8
696.9999999995111,-0.6
697.9999999995102,-0.6
698.9999999995093,-0.4
699.9999999995084,-0.6
700.9999999995075,-0.6
701.9999999995066,-0.4
702.9999999995057,-0.4
703.9999999995048,-0.2
704.9999999995039,-0.2
705.999999999503,-0.4
706.999999999502,-0.4
707.9999999995011,-0.4
708.9999999995002,-0.4
709.9999999994993,-0.6
710.9999999994984,-0.6
711.9999999994975,-0.4
712.9999999994966,-0.4
713.9999999994957,-0.4
714.9999999994948,-0.2
715.9999999994939,-0.6
716.999999999493,-0.6
717.999999999492,-0.8
718.9999999994911,-0.8
719.9999999994902,-0.6
720.9999999994893,-0.6
721.9999999994884,-0.4
722.9999999994875,-0.4
723.9999999994866,-0.2
724.9999999994857,-0.2
725.9999999994848,-0.6
726.9999999994839,-0.4
727.999999999483,-0.8
728.999999999482,-0.8
729.9999999994811,-0.6
730.9999999994802,-0.6
731.9999999994793,-0.6
732.9999999994784,-0.8
733.9999999994775,-0.8
734.9999999994766,-0.8
735.9999999994757,-0.6
736.9999999994748,-0.6
737.9999999994739,-0.6
738.999999999473,-0.8
739.999999999472,-0.8
740.9999999994711,-0.6
741.9999999994702,-0.8
742.9999999994693,-0.8
743.9999999994684,-0.8
744.9999999994675,-0.2
745.9999999994666,-0.2
746.9999999994657,-0.4
747.9999999994648,-0.6
748.9999999994639,-0.4
749.999999999463,-0.2
750.999999999462,-0.4
751.9999999994611,-0.4
752.9999999994602,-0.6
753.9999999994593,-0.8
754.9999999994584,-0.8
755.9999999994575,-0.8
756.9999999994566,-0.8
757.9999999994557,-0.4
758.9999999994548,-0.2
759.9999999994538,-0.2
760.9999999994529,0.0
761.999999999452,-0.2
762.9999999994511,-0.6
763.9999999994502,-0.4
764.9999999994493,-0.4
765.9999999994484,-0.4
766.9999999994475,-0.2
767.9999999994466,0.0
768.9999999994457,-0.4
769.9999999994448,-0.2
770.9999999994438,0.0
771.9999999994429,-0.2
772.999999999442,-0.4
773.9999999994411,-0.4
774.9999999994402,-0.4
775.9999999994393,-0.2
776.9999999994384,-0.2
777.9999999994375,-0.4
778.9999999994366,-0.2
779.9999999994357,-0.2
780.9999999994347,0.0
781.9999999994338,-0.2
782.9999999994329,-0.2
783.999999999432,0.0
784.9999999994311,0.0
785.9999999994302,-0.2
786.9999999994293,0.0
787.9999999994284,0.0
788.9999999994275,-0.2
789.9999999994266,-0.2
790.9999999994257,-0.4
791.9999999994247,-0.4
792.9999999994238,-0.2
793.9999999994229,-0.4
794.999999999422,-0.6
795.9999999994211,-0.4
796.9999999994202,-0.4
797.9999999994193,-0.4
798.9999999994184,-0.4
799.9999999994175,-0.4
800.9999999994166,-0.4
801.9999999994156,-0.4
802.9999999994147,-0.2
803.9999999994138,-0.4
804.9999999994129,-0.2
805.999999999412,-0.4
806.9999999994111,-0.4
807.9999999994102,0.0
808.9999999994093,-0.2
809.9999999994084,-0.2
810.9999999994075,-0.2
811.9999999994066,0.0
812.9999999994056,0.0
813.9999999994047,0.0
814.9999999994038,-0.4
815.9999999994029,-0.6
816.999999999402,-0.8
817.9999999994011,-0.8
818.9999999994002,-0.6
819.9999999993993,-0.8
820.9999999993984,-0.6
821.9999999993975,-0.8
822.9999999993966,-0.4
823.9999999993956,-0.6
824.9999999993947,-0.2
825.9999999993938,-0.6
826.9999999993929,-0.4
827.999999999392,-0.2
828.9999999993911,-0.4
829.9999999993902,-0.4
830.9999999993893,-0.2
831.9999999993884,-0.4
832.9999999993875,-0.4
833.9999999993865,-0.4
834.9999999993856,-0.6
835.9999999993847,-0.6
836.9999999993838,-0.4
837.9999999993829,-0.2
838.999999999382,-0.4
839.9999999993811,-0.2
840.9999999993802,-0.2
841.9999999993793,-0.2
842.9999999993784,-0.4
843.9999999993775,-0.4
844.9999999993765,-0.4
845.9999999993756,-0.4
846.9999999993747,-0.2
847.9999999993738,-0.2
848.9999999993729,-0.2
849.999999999372,-0.2
850.9999999993711,-0.2
851.9999999993702,-0.2
852.9999999993693,-0.2
853.9999999993684,-0.2
854.9999999993674,-0.6
855.9999999993665,-0.6
856.9999999993656,-0.4
857.9999999993647,-0.4
858.9999999993638,-0.4
859.9999999993629,-0.6
860.999999999362,-0.6
861.9999999993611,-0.4
862.9999999993602,-0.6
863.9999999993593,-0.8
864.9999999993584,-0.8
865.9999999993574,-0.4
866.9999999993565,-0.2
867.9999999993556,-0.2
868.9999999993547,-0.2
869.9999999993538,-0.2
870.9999999993529,-0.2
871.999999999352,-0.2
872.9999999993511,-0.2
873.9999999993502,-0.2
874.9999999993493,0.0
875.9999999993483,0.0
876.9999999993474,0.0
877.9999999993465,-0.2
878.9999999993456,-0.2
879.9999999993447,-0.2
880.9999999993438,-0.2
881.9999999993429,-0.2
882.999999999342,-0.2
883.9999999993411,-0.2
884.9999999993402,-0.4
885.9999999993393,-0.4
886.9999999993383,-0.2
887.9999999993374,-0.4
888.9999999993365,-0.2
889.9999999993356,-0.4
890.9999999993347,-0.6
891.9999999993338,-0.4
892.9999999993329,-1.0
893.999999999332,-1.0
894.9999999993311,-1.0
895.9999999993302,-1.0
896.9999999993292,-1.0
897.9999999993283,-1.0
898.9999999993274,-0.6
899.9999999993265,-0.2
900.9999999993256,-0.2
901.9999999993247,-0.4
902.9999999993238,-0.6
903.9999999993229,-0.6
904.999999999322,-0.8
905.9999999993211,-0.6
906.9999999993202,-0.6
907.9999999993192,-0.6
908.9999999993183,-0.6
909.9999999993174,-0.6
910.9999999993165,-0.4
911.9999999993156,-0.2
912.9999999993147,-0.2
913.9999999993138,-0.4
914.9999999993129,-0.4
915.999999999312,-0.6
916.9999999993111,-0.4
917.9999999993101,-0.2
918.9999999993092,-0.4
919.9999999993083,-0.6
920.9999999993074,-0.4
921.9999999993065,-0.4
922.9999999993056,-0.4
923.9999999993047,-0.4
924.9999999993038,-0.2
925.9999999993029,-0.2
926.999999999302,-0.2
927.999999999301,-0.4
928.9999999993001,-0.2
929.9999999992992,-0.4
930.9999999992983,-0.4
931.9999999992974,-0.4
932.9999999992965,-0.4
933.9999999992956,-0.2
934.9999999992947,-0.2
935.9999999992938,-0.2
936.9999999992929,-0.2
937.999999999292,-0.4
938.999999999291,-0.6
939.9999999992901,-0.6
940.9999999992892,-0.4
941.9999999992883,-0.6
942.9999999992874,-0.4
943.9999999992865,-0.4
944.9999999992856,-0.4
945.9999999992847,-0.6
946.9999999992838,-0.6
947.9999999992829,-0.8
948.999999999282,-0.8
949.999999999281,-1.0
950.9999999992801,-0.8
951.9999999992792,-0.8
952.9999999992783,-0.4
953.9999999992774,-0.6
954.9999999992765,-0.6
955.9999999992756,-0.8
956.9999999992747,-0.6
957.9999999992738,-0.8
958.9999999992729,-0.8
959.999999999272,-0.8
960.999999999271,-1.0
961.9999999992701,-0.6
962.9999999992692,-0.4
963.9999999992683,-0.4
964.9999999992674,-0.4
965.9999999992665,-0.4
966.9999999992656,-0.2
967.9999999992647,-0.4
968.9999999992638,-0.6
969.9999999992629,-0.6
970.999999999262,-0.8
971.999999999261,-0.4
972.9999999992601,-0.4
973.9999999992592,-0.4
974.9999999992583,-0.2
975.9999999992574,-0.4
976.9999999992565,-0.4
977.9999999992556,-0.4
978.9999999992547,-0.4
979.9999999992538,-0.6
980.9999999992529,-0.4
981.9999999992519,-0.6
982.999999999251,-0.2
983.9999999992501,-0.2
984.9999999992492,-0.4
985.9999999992483,-0.6
986.9999999992474,-0.6
987.9999999992465,-0.4
988.9999999992456,-0.2
989.9999999992447,-0.2
990.9999999992438,-0.2
991.9999999992428,-0.6
992.9999999992419,-0.8
993.999999999241,-0.6
994.9999999992401,-0.4
995.9999999992392,-0.8
996.9999999992383,-0.4
997.9999999992374,-0.4
998.9999999992365,-0.2
999.9999999992356,-0.2
1000.9999999992347,-0.2
1001.9999999992338,-0.2
1002.9999999992328,-0.4
1003.9999999992319,-0.4
1004.999999999231,-0.2
1005.9999999992301,-0.4
1006.9999999992292,-0.2
1007.9999999992283,-0.2
1008.9999999992274,-0.2
1009.9999999992265,-0.4
1010.9999999992256,-0.2
1011.9999999992247,-0.6
1012.9999999992237,-0.6
1013.9999999992228,-0.4
1014.9999999992219,-0.6
1015.999999999221,-0.4
1016.9999999992201,-0.4
1017.9999999992192,-0.4
1018.9999999992183,-0.6
1019.9999999992174,-0.4
1020.9999999992165,-0.4
1021.9999999992156,-0.4
1022.9999999992147,-0.6
1023.9999999992137,-0.2
1024.9999999992128,-0.2
1025.999999999212,-0.2
1026.999999999211,-0.2
1027.99999999921,0.0
1028.9999999992092,-0.2
1029.9999999992083,-0.4
1030.9999999992074,-0.6
1031.9999999992065,-0.6
1032.9999999992056,-0.6
1033.9999999992046,-0.8
1034.9999999992037,-0.6
1035.9999999992028,-0.4
1036.999999999202,-0.2
1037.999999999201,-0.4
1038.9999999992,-0.4
1039.9999999991992,-0.4
1040.9999999991983,-0.4
1041.9999999991974,-0.4
1042.9999999991965,-0.4
1043.9999999991956,-0.2
1044.9999999991946,-0.4
1045.9999999991937,-0.4
1046.9999999991928,-0.6
1047.999999999192,-0.6
1048.999999999191,-0.8
1049.99999999919,-0.4
1050.9999999991892,-0.4
1051.9999999991883,-0.6
1052.9999999991874,-0.6
1053.9999999991865,-0.6
1054.9999999991855,-0.6
1055.9999999991846,-0.2
1056.9999999991837,0.0
1057.9999999991828,-0.2
1058.999999999182,-0.2
1059.999999999181,-0.2
1060.99999999918,-0.2
1061.9999999991792,-0.4
1062.9999999991783,-0.4
1063.9999999991774,0.0
1064.9999999991765,0.0
1065.9999999991755,0.0
1066.9999999991746,-0.4
1067.9999999991737,-0.6
1068.9999999991728,-0.6
1069.999999999172,-0.4
1070.999999999171,-0.4
1071.99999999917,-0.8
1072.9999999991692,-0.6
1073.9999999991683,-0.6
1074.9999999991674,-0.6
1075.9999999991664,-0.4
1076.9999999991655,-0.4
1077.9999999991646,-0.2
1078.9999999991637,-0.4
1079.9999999991628,-0.2
1080.999999999162,-0.4
1081.999999999161,-0.6
1082.99999999916,-0.6
1083.9999999991592,-0.6
1084.9999999991583,-0.6
1085.9999999991574,-0.6
1086.9999999991564,-0.4
1087.9999999991555,-0.2
1088.9999999991546,-0.2
1089.9999999991537,-0.2
1090.9999999991528,-0.2
1091.999999999152,-0.4
1092.999999999151,-0.4
1093.99999999915,-0.2
1094.9999999991492,-0.6
1095.9999999991483,-0.2
1096.9999999991473,-0.6
1097.9999999991464,-0.6
1098.9999999991455,-0.6
1099.9999999991446,-0.8
1100.9999999991437,-0.8
1101.9999999991428,-0.8
1102.999999999142,-0.6
1103.999999999141,-0.6
1104.99999999914,-0.6
1105.9999999991392,-0.6
1106.9999999991383,-0.4
1107.9999999991373,-0.4
1108.9999999991364,-0.4
1109.9999999991355,-0.6
